Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","486","Bananes","2017","2017","tonnes","127","","Donnée officielle"
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","486","Bananes","2018","2018","tonnes","94","","Donnée officielle"
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","486","Bananes","2019","2019","tonnes","92","","Donnée officielle"
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","592","Kiwis","2017","2017","tonnes","980","","Donnée officielle"
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","592","Kiwis","2018","2018","tonnes","1030","","Donnée officielle"
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","592","Kiwis","2019","2019","tonnes","656","","Donnée officielle"
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","568","Melons, cantaloups","2017","2017","tonnes","14432","","Donnée officielle"
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","568","Melons, cantaloups","2018","2018","tonnes","12930","","Donnée officielle"
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","568","Melons, cantaloups","2019","2019","tonnes","15852","","Donnée officielle"
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","600","Papayes","2017","2017","tonnes","16","","Donnée officielle"
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","600","Papayes","2018","2018","tonnes","38","","Donnée officielle"
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","600","Papayes","2019","2019","tonnes","12","","Donnée officielle"
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","567","Pastèques","2017","2017","tonnes","6528","","Donnée officielle"
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","567","Pastèques","2018","2018","tonnes","6947","","Donnée officielle"
"TCL","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","567","Pastèques","2019","2019","tonnes","8177","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","574","Ananas","2017","2017","tonnes","1416","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","574","Ananas","2018","2018","tonnes","1302","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","574","Ananas","2019","2019","tonnes","1306","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","486","Bananes","2017","2017","tonnes","17112","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","486","Bananes","2018","2018","tonnes","14771","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","486","Bananes","2019","2019","tonnes","13292","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","569","Figues","2017","2017","tonnes","5192","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","569","Figues","2018","2018","tonnes","4787","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","569","Figues","2019","2019","tonnes","5588","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","592","Kiwis","2017","2017","tonnes","587","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","592","Kiwis","2018","2018","tonnes","856","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","592","Kiwis","2019","2019","tonnes","936","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","571","Mangues, mangoustans et goyaves","2017","2017","tonnes","802","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","571","Mangues, mangoustans et goyaves","2018","2018","tonnes","1517","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","571","Mangues, mangoustans et goyaves","2019","2019","tonnes","1514","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","568","Melons, cantaloups","2017","2017","tonnes","2156","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","568","Melons, cantaloups","2018","2018","tonnes","3016","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","568","Melons, cantaloups","2019","2019","tonnes","2420","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","600","Papayes","2017","2017","tonnes","29","","Donnée officielle"
"TCL","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","600","Papayes","2018","2018","tonnes","30","","Donnée officielle"
